Plot ID,Plot identifiers,Elevation,Bulk density (g/cm3),Soil moisture (%),Vegetation percent cover,Vegetation pre-dry mass,Vegetation dry weight,pH,EC (mS),% Sand,% Silt,% Clay,Average sediment accumulation,Percent feldspar present
21A,ncos_e_6.5_a,6.5,1.213018868,27.81073032,0,0,0,8.12,31.9,,,,1.093,NA
21B,ncos_e_6.5_a,6.5,1.139597484,27.71989631,0,0,0,,14.95,,,,1.093,NA
23A,ncos_e_7.0_a,7,0.9811194969,7.339871705,48,216.23,82.139,7.41,63.4,0.2979463697,41.17258893,58.5294647,1.507894737,NA
23B,ncos_e_7.0_a,7,1.350867925,24.02800287,48,216.23,82.139,,13.85,15.30202147,73.980765,10.71721352,1.507894737,NA
25A,ncos_e_7.5_a,7.5,1.283345912,4.463844675,38,121.245,42.833,8.56,2.82,8.678355091,38.16397113,53.15767378,0.532,NA
25B,ncos_e_7.5_a,7.5,1.330515723,15.88043913,38,121.245,42.833,8.02,8.43,6.690387191,34.16155276,59.14806005,0.532,NA
41A,ncos_e_8.0_a,8,1.246251572,3.024180809,79,200.983,102.264,8.47,1.306,33.05355715,26.79856115,40.14788169,1.161881188,NA
41B,ncos_e_8.0_a,8,1.39236478,14.30327194,79,200.983,102.264,8.15,6.71,15.69732582,21.98505017,62.31762402,1.161881188,NA
22A,ncos_e_6.5_c,6.5,1.34924184,11.83077589,36,250.743,73.017,8.03,46.8,32.52207969,53.49078847,13.98713184,1.548,NA
22B,ncos_e_6.5_c,6.5,1.418195837,25.70419614,36,250.743,73.017,,10.42,21.47256439,29.35530315,49.17213246,1.548,NA
24A,ncos_e_7.0_c,7,1.430043691,8.021203915,24,142.602,37.338,7.5,40.9,49.49232491,41.5134314,8.994243684,3.133333333,NA
24B,ncos_e_7.0_c,7,1.486815729,19.96632294,24,142.602,37.338,7.93,15.08,33.5145181,26.33840251,40.14707939,3.133333333,NA
26A,ncos_e_7.5_c,7.5,1.243934721,2.636185595,53,167.692,86.801,8.18,2.35,38.67066467,28.16591704,33.16341829,2.881,NA
26B,ncos_e_7.5_c,7.5,1.749807247,6.999059742,53,167.692,86.801,8.53,4.83,47.49885085,21.34420529,31.15694386,2.881,NA
40A,ncos_e_8.0_c,8,1.400668209,3.172060166,100,533.363,308.577,7.74,0.7285,33.30534397,31.52801935,35.16663668,2.818,NA
40B,ncos_e_8.0_c,8,1.656874839,9.078056244,100,533.363,308.577,8.84,1.489,37.37204095,26.45953295,36.1684261,2.818,NA
45A,ncos_n_6.5_c,6.5,1.693510666,21.61088248,61,177.696,100.416,7.38,65.3,38.64490841,47.99616031,13.35893129,1.741,16.43%
45B,ncos_n_6.5_c,6.5,1.479105628,21.27929703,61,177.696,100.416,8.3,10.83,39.31762307,26.98327037,33.69910655,1.741,16.43%
29A,ncos_n_7.0_c,7,1.304831663,34.95563663,95,1178.151,507.217,7.75,32.1,35.17241379,57.83108446,6.996501749,1.744,78.57%
29B,ncos_n_7.0_c,7,1.638653302,21.93577023,95,1178.151,507.217,8.36,6.9,47.91520708,23.70038233,28.38441059,1.744,78.57%
31A,ncos_n_7.5_c,7.5,1.424672321,16.19633578,85,436.548,333.508,7.44,71.7,39.76554373,51.73241578,8.50204049,1.285,44.52%
31B,ncos_n_7.5_c,7.5,1.551734773,21.91591108,85,436.548,333.508,8.36,7.57,38.08055734,28.88773222,33.03171044,1.285,44.52%
33A,ncos_n_8.0_c,8,1.291197636,3.314488922,35,135.315,54.145,7.69,19.07,35.96926525,54.02593245,10.00480231,1.941,75.71%
33B,ncos_n_8.0_c,8,1.43310203,13.45646495,35,135.315,54.145,8.22,10.08,34.0448495,41.97145941,23.98369109,1.941,75.71%
44A,ncos_n_8.0_a,8,1.273901311,5.571968343,100,494,225.4,8.71,1.091,36.63239589,30.18362203,33.18398208,0.43,47.14%
44B,ncos_n_8.0_a,8,1.326214341,6.629277641,100,494,225.4,9.01,1.526,38.68904876,29.15667466,32.15427658,0.43,47.14%
32A,ncos_n_7.5_a,7.5,1.125327679,7.753597393,100,693.253,493.872,5.007,1.224,19.63839277,29.14458289,51.21702434,0.399,71.19%
32B,ncos_n_7.5_a,7.5,1.257414546,17.29161934,100,693.253,493.872,4.945,1.116,6.6679996,28.13555933,65.19644107,0.399,71.19%
30A,ncos_n_7.0_a,7,1.335903367,8.745959974,98,781.282,308.777,8.08,12.64,26.46147077,66.17867643,7.359852803,0.445,63.33%
30B,ncos_n_7.0_a,7,1.309444873,16.64412437,98,781.282,308.777,8.77,3.6,26.63559814,32.00192012,41.36248175,0.445,63.33%
28A,ncos_n_6.5_a,6.5,1.371960935,25.08677378,80,486.579,167.26,8.22,42.5,13.5846942,76.04867115,10.36663465,1.024,22.14%
28B,ncos_n_6.5_a,6.5,1.341621691,35.36729128,80,486.579,167.26,8.72,7.26,14.97109017,31.79481024,53.23409959,1.024,22.14%
42A,ncos_w_8.0_a,8,1.452004626,8.022168602,100,1785.32,863.06,8.07,2.83,35.38043261,31.45416017,33.16540722,0.796,31.90%
42B,ncos_w_8.0_a,8,1.461076844,9.810456969,100,1785.32,863.06,8.46,2.38,40.38657579,25.45323712,34.16018709,0.796,31.90%
34A,ncos_w_6.5_a,6.5,1.558609612,25.32612439,2,7.386,4.81,8.06,91.6,,,,1.383,54.05%
34B,ncos_w_6.5_a,6.5,1.377049602,9.509965212,2,7.386,4.81,7.98,10.53,,,,1.383,54.05%
35A,ncos_w_7.0_a,7,1.456694937,4.665094243,100,720.13,615.53,7.71,13.14,25.45828919,64.36639146,10.17531935,0.23,38.71%
35B,ncos_w_7.0_a,7,1.548226677,14.32523656,100,720.13,615.53,8.16,8.14,21.64940207,32.17613886,46.17445906,0.23,38.71%
37A,ncos_w_7.5_a,7.5,1.343896171,4.535141276,100,1280.559,514.346,7.91,4.51,35.41237423,31.4016523,33.18597348,0.272,25.95%
37B,ncos_w_7.5_a,7.5,1.372025186,9.867220139,100,1280.559,514.346,8.63,2.31,33.2932981,26.49131235,40.21538954,0.272,25.95%
43A,ncos_w_6.5_c,6.5,1.447378566,22.83790988,18,67.252,30.588,8.22,42.4,,,,1.546,39.43%
43B,ncos_w_6.5_c,6.5,1.623657158,15.71313128,18,67.252,30.588,7.54,14.44,,,,1.546,39.43%
39A,ncos_w_8.0_c,8,1.24388332,4.154492654,35,252.929,137.379,7.71,8.26,29.46423215,36.17782933,34.35793852,1.154,23.57%
39B,ncos_w_8.0_c,8,1.731431509,15.3053561,35,252.929,137.379,8.12,8.7,37.32387329,27.30488658,35.37124013,1.154,23.57%
38A,ncos_w_7.5_c,7.5,1.356733488,4.334243299,25,154.187,93.11,7.44,18.65,26.3315679,40.22384331,33.44458879,0.454,79.29%
38B,ncos_w_7.5_c,7.5,1.581315857,16.52059335,25,154.187,93.11,8.22,7.57,30.27721109,32.32529301,37.3974959,0.454,79.29%
36A,ncos_w_7.0_c,7,1.411693652,14.35495649,75,666.429,437.867,7.22,52,27.47041893,60.14150943,12.38807163,0.506,31.43%
36B,ncos_w_7.0_c,7,1.528655873,23.56854694,75,666.429,437.867,7.27,20.2,31.48703193,33.14950246,35.36346561,0.506,31.43%
10A,ds_sw1_6.5,6.5,0.3519146749,66.90379443,100,2802.89,1531.97,6.16,43.5,,,,0.779,59.29%
10B,ds_sw1_6.5,6.5,1.188768954,43.45934155,100,2802.89,1531.97,7.23,9.21,14.59545955,42.22022202,43.18431843,0.779,59.29%
11A,ds_sw1_7.0,7,0.2012464662,65.64890929,100,1802.952,965.111,6.92,4.33,,,,0.171,51.43%
11B,ds_sw1_7.0,7,0.7540349525,74.56776734,100,1802.952,965.111,7.22,4.18,,,,0.171,51.43%
12A,ds_sw1_7.5,7.5,0.1845797995,30.54297103,100,1473.66,950.21,6.8,2.67,,,,0.19,83.33%
12B,ds_sw1_7.5,7.5,1.039655616,28.34419195,100,1473.66,950.21,7.9,0.7847,,,,0.19,83.33%
47A,ds_sw1_8.0,8,0.2836417373,40.43345617,100,2484.92,1746.7,6.64,2.67,,,,0,0
47B,ds_sw1_8.0,8,0.7424955024,23.71381582,100,2484.92,1746.7,7.21,1.115,33.31867517,42.69523676,23.98608807,0,0
1A,ds_ne1_6.5,6.5,1.313634027,10.05343549,0,0,0,7.84,51.4,4.23786466,72.75201088,23.01012445,0.7169014085,10.24%
1B,ds_ne1_6.5,6.5,1.469725006,19.12493103,0,0,0,8.68,13.3,1.268152178,28.54342521,70.18842261,0.7169014085,10.24%
2A,ds_ne1_7.0,7,0.7018504241,10.69428992,100,948.07,538.66,6.5,32.5,46.64426846,44.35645148,8.999280058,0.08,78.10%
2B,ds_ne1_7.0,7,1.32463377,38.09263577,100,948.07,538.66,7.54,18.06,13.62618019,17.36277804,69.01104177,0.08,78.10%
3A,ds_ne1_7.5,7.5,0.7505782575,20.5581689,100,1237.201,570.136,,,,,,0.152,91.43%
3B,ds_ne1_7.5,7.5,1.244757132,30.34113113,100,1237.201,570.136,7.07,10.18,,,,0.152,91.43%
50A,de_ne1_8.0,8,0.4668337188,22.30866813,70,1316.327,736.109,7.39,1.797,,,,0.327,65.48%
50B,de_ne1_8.0,8,1.31693652,7.898661806,70,1316.327,736.109,7.83,0.7915,88.78915699,6.033224717,5.177618296,0.327,65.48%
,,,,,,,,,,,,,1.013781583,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,